id,test-questions,preds
q9,"1. The Industrial Capital invested by the British in India led to
(A) the development of Indian industries
(B) the Industrial Revolution in England
(C) the cause for the drain of Indian wealth
(D) the employment for unemployed Indian artisans",1-mark_questions
q9,"3. Occupancy of one nation by another and using the former for the selfish
purpose of the latter resulted in
(A) Slavery (B) Racial discrimination
(C) Cold War (D) Colonialism",1-mark_questions
q9,"4. During the Indo-Pak War in 1947, United Nations Organisation declared
ceasefire, as it
(A) opposed wars
(B) maintains International Peace
(C) expected war preparations
(D) required permission to declare wars from U.N.O",1-mark_questions
q9,"5. N.S.S. students of a college are cleaning the school ground. This activity is
(A) unpaid work
(B) paid work
(C) organised work
(D) unorganised work",1-mark_questions
q9,"6. With an intention to check female foeticide
(A) Family planning is introduced
(B) Reservation is provided to women
(C) Scanning centres are banned to detect gender of the foetus
(D) Child Right Act has been enforced",1-mark_questions
q9,"7. Smoking is banned in public places because
(A) consumption of tobacco is injurious to health
(B) to maintain the cleanliness in public places
(C) production of tobacco has to be licensed
(D) tobacco is legally prohibited",1-mark_questions
q9,"9. ?Banker?s bank? is
(A) Industrial Development Bank
(B) Land Development Bank
(C) EXIM Bank
(D) Reserve Bank of India",1-mark_questions
q9,"10. The entrepreneur who utilised the ?Open Sky Policy? of Indian Government is
(A) Dr. Pratap Reddy (B) Naresh Goyal
(C) Narayan Murthy (D) Dhirubhai Ambani",1-mark_questions
q9,11. What is Kalachakra ?,1-mark_questions
q9,12. Why was the word ?Secular? added through the 42nd Constitutional amendment ?,1-mark_questions
q9,13. What is the aftermath of Cold War ?,1-mark_questions
q9,14. What is the significance of Right to Education in eradicating illiteracy ?,1-mark_questions
q9,15. What factor has blocked the progress of SAARC ?,1-mark_questions
q9,16. What is the main aim of ?drudgery to school? programme ?,1-mark_questions
q9,17. Which place receives the highest rainfall in India ?,1-mark_questions
q9,18. What is Golden revolution ?,1-mark_questions
q9,19. How has Kosi Project benefited Nepal ?,1-mark_questions
q9,20. Why is petroleum called ?Liquid Gold? ?,1-mark_questions
q9,21. What is ?positive change? in economy ?,1-mark_questions
q9,22. How do you find out the per capita income ?,1-mark_questions
q9,23. What is deficit budget ?,1-mark_questions
q9,24. When were the District Industrial Centres established ?,1-mark_questions
q9,25. Describe the system of ?Dual Government? by Robert Clive.,other_questions
q9,26. How was the Third Anglo-Mysore War a boon to the British ?,other_questions
q9,"27. Explain the reforms propagated by Satya Shodhak Samaj.
OR
What are the contributions of Annie Besant to Indian Philosophy and
freedom movement ?",other_questions
q9,28. How did Mussolini become a dictator ?,other_questions
q9,29. How has communalism been the biggest evil of our society ?,other_questions
q9,30. What are the effects of terrorism ?,other_questions
q9,31. Name any four movements of environmental protection.,other_questions
